127.0.0.1, 2018-04-25 21:28:08, GET, /, HTTP/1.1, 303, 0.069789
127.0.0.1, 2018-04-25 21:28:09, GET, /welcome/default/index, HTTP/1.1, 200, 0.522651
127.0.0.1, 2018-04-25 21:28:09, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000862
127.0.0.1, 2018-04-25 21:28:09, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.004085
127.0.0.1, 2018-04-25 21:28:09, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.002838
127.0.0.1, 2018-04-25 21:28:09, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001208
127.0.0.1, 2018-04-25 21:28:09, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001524
127.0.0.1, 2018-04-25 21:28:09, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002824
127.0.0.1, 2018-04-25 21:28:09, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000814
127.0.0.1, 2018-04-25 21:28:09, GET, /welcome/static/js/popper.js, HTTP/1.1, 200, 0.000828
127.0.0.1, 2018-04-25 21:28:09, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000783
127.0.0.1, 2018-04-25 21:28:09, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000695
127.0.0.1, 2018-04-25 21:28:10, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000769
127.0.0.1, 2018-04-25 21:28:37, GET, /, HTTP/1.1, 303, 0.034794
127.0.0.1, 2018-04-25 21:28:38, GET, /welcome/default/index, HTTP/1.1, 200, 0.232680
127.0.0.1, 2018-04-25 21:28:45, GET, /start/default/index, HTTP/1.1, 200, 0.235936
127.0.0.1, 2018-04-25 21:28:45, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.001526
127.0.0.1, 2018-04-25 21:28:45, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.001780
127.0.0.1, 2018-04-25 21:28:45, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.002101
127.0.0.1, 2018-04-25 21:28:45, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.001605
127.0.0.1, 2018-04-25 21:28:45, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.000800
127.0.0.1, 2018-04-25 21:28:45, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.003739
127.0.0.1, 2018-04-25 21:28:45, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.003718
127.0.0.1, 2018-04-25 21:28:45, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.003992
127.0.0.1, 2018-04-25 21:28:45, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.004094
127.0.0.1, 2018-04-25 21:28:45, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.001831
127.0.0.1, 2018-04-25 21:28:45, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.001238
127.0.0.1, 2018-04-25 21:28:52, GET, /start/default/index, HTTP/1.1, 200, 0.087242
127.0.0.1, 2018-04-25 21:28:56, GET, /start/default/user/register, HTTP/1.1, 200, 0.089885
127.0.0.1, 2018-04-25 21:29:11, POST, /start/default/user/register, HTTP/1.1, 200, 0.082758
127.0.0.1, 2018-04-25 21:29:22, POST, /start/default/user/register, HTTP/1.1, 303, 0.101738
